Tipo, Velocidad, Posición, Tiempo, Colisión
Pelota,7.81,Derecha,4.09,False
Pelota,8.03,Derecha,6.09,True
Pelota,8.37,Izquierda,8.10,False
Pelota,8.80,Derecha,10.10,False
Pelota,7.44,Derecha,12.11,False
Pelota,7.11,Derecha,14.11,True
Pelota,8.29,Derecha,16.12,False
Pelota,8.95,Derecha,18.12,False
Pelota,7.98,Derecha,20.13,False
Pelota,8.03,Izquierda,22.13,False
Pelota,8.50,Izquierda,24.14,False
Pelota,7.21,Izquierda,26.15,False
Pelota,7.70,Derecha,28.15,False
Pelota,8.83,Izquierda,30.16,False
Pelota,9.96,Derecha,31.66,False
Pelota,8.84,Izquierda,33.16,False
Pelota,9.89,Izquierda,34.67,False
Pelota,8.52,Izquierda,36.17,False
Pelota,9.08,Derecha,37.68,True
Pelota,10.53,Derecha,39.18,False
Pelota,9.20,Izquierda,40.68,False
Pelota,8.73,Derecha,42.18,False
Pelota,9.21,Derecha,43.69,False
Pelota,10.64,Izquierda,45.19,False
Pelota,9.75,Izquierda,46.70,False
Pelota,9.76,Derecha,48.20,True
Pelota,8.59,Izquierda,49.71,False
Pelota,8.61,Derecha,51.21,False
Pelota,10.76,Derecha,52.71,False
Pelota,9.47,Derecha,54.21,False
Pelota,9.39,Derecha,55.72,False
Pelota,10.70,Derecha,57.22,False
Pelota,9.98,Izquierda,58.73,False
 
PELOTAS RECIBIDAS: , 33,100.00%
, Aciertos: , 29, Derecha: , 16, Izquierda: ,13
, , 87.88% , , 55.17%, ,44.83%
, Errores: , 4, Derecha: , 4, Izquierda: ,0
, , 12.12% , , 100.00%, ,0.00%
 
PUNTOS FINALES:, 1
 
OWO: ,True
