Tipo, Velocidad, Posición, Tiempo, Colisión
Pelota,8.88,Derecha,4.04,False
Pelota,7.92,Izquierda,6.05,True
Pelota,8.55,Derecha,8.05,True
Pelota,7.98,Derecha,10.06,True
Pelota,8.81,Derecha,12.06,True
Pelota,8.99,Derecha,14.07,False
Pelota,8.34,Izquierda,16.08,False
Pelota,8.20,Derecha,18.08,False
Pelota,7.00,Derecha,20.08,True
Pelota,7.11,Derecha,22.09,False
Pelota,8.38,Derecha,24.09,False
Pelota,8.07,Izquierda,26.09,False
Pelota,8.48,Derecha,28.10,False
Pelota,9.10,Derecha,30.10,False
Pelota,8.69,Derecha,31.61,False
Pelota,9.66,Derecha,33.11,False
Pelota,10.07,Derecha,34.62,False
Pelota,10.66,Izquierda,36.12,False
Pelota,9.79,Derecha,37.63,False
Pelota,9.19,Derecha,39.13,False
Pelota,9.88,Derecha,40.63,True
Pelota,9.98,Derecha,42.14,True
Pelota,9.22,Izquierda,43.64,False
Pelota,9.43,Izquierda,45.14,False
Pelota,10.22,Derecha,46.65,False
Pelota,9.45,Izquierda,48.15,False
Pelota,9.97,Izquierda,49.65,False
Pelota,9.98,Derecha,51.16,False
Pelota,9.02,Izquierda,52.66,False
Pelota,9.69,Izquierda,54.16,False
Pelota,10.48,Izquierda,55.67,False
Pelota,10.66,Derecha,57.17,False
Pelota,10.63,Derecha,58.67,False
 
PELOTAS RECIBIDAS: , 33,100.00%
, Aciertos: , 26, Derecha: , 16, Izquierda: ,10
, , 78.79% , , 61.54%, ,38.46%
, Errores: , 7, Derecha: , 6, Izquierda: ,1
, , 21.21% , , 85.71%, ,14.29%
 
PUNTOS FINALES:, 0
 
OWO: ,True
