Tipo, Velocidad, Posición, Tiempo, Colisión
Pelota,8.32,Derecha,4.06,False
Pelota,8.48,Derecha,6.06,False
Pelota,8.63,Izquierda,8.06,False
Pelota,8.45,Derecha,10.07,True
Punto Extra,8.39,Derecha,12.08,False
Pelota,8.75,Derecha,14.08,False
Pelota,7.39,Derecha,16.08,False
Pelota,7.64,Derecha,18.09,False
Pelota,8.89,Derecha,20.10,False
Pelota,7.37,Derecha,22.10,False
Punto Extra,7.17,Izquierda,24.11,True
Pelota,8.29,Izquierda,26.11,False
Pelota,7.32,Derecha,28.11,False
Pelota,9.77,Derecha,30.12,False
Pelota,10.99,Derecha,31.62,False
Pelota,9.97,Derecha,33.13,False
Pelota,10.53,Izquierda,34.63,False
Pelota,10.32,Izquierda,36.13,False
Pelota,10.86,Derecha,37.64,False
Pelota,9.53,Izquierda,39.14,False
Pelota,8.98,Derecha,40.64,False
Pelota,10.17,Derecha,42.15,False
Pelota,8.78,Izquierda,43.65,False
Pelota,9.63,Derecha,45.15,False
Pelota,10.22,Derecha,46.66,False
Pelota,10.95,Derecha,48.16,False
Pelota,9.93,Derecha,49.67,False
Pelota,10.96,Izquierda,51.17,False
Pelota,8.96,Derecha,52.68,False
Pelota,8.63,Derecha,54.18,False
Pelota,10.87,Izquierda,55.68,False
Pelota,9.10,Izquierda,57.19,False
Pelota,10.25,Izquierda,58.69,False
 
PELOTAS RECIBIDAS: , 31,93.94%
, Aciertos: , 30, Derecha: , 20, Izquierda: ,10
, , 96.77% , , 66.67%, ,33.33%
, Errores: , 1, Derecha: , 1, Izquierda: ,0
, , 3.23% , , 100.00%, ,0.00%
 
PUNTOS EXTRAS RECIBIDOS: , 2,6.06%
, Obtenidos: , 1, Derecha: , 0
, , 50.00% , , 0.00%, ,100.00%
, Esquivados: , 1, Derecha: , 1, Izquierda: ,0
, , 50.00% , , 100.00%, ,0.00%
 
PUNTOS FINALES:, 3
 
OWO: ,True
