Tipo, Velocidad, Posición, Tiempo, Colisión
Pelota,7.78,Derecha,4.06,False
Pelota,7.30,Izquierda,6.06,False
Pelota,8.72,Derecha,8.07,False
Pelota,8.45,Derecha,10.07,False
Pelota,7.29,Derecha,12.08,True
Pelota,8.00,Derecha,14.08,False
Pelota,7.42,Izquierda,16.09,False
Punto Extra,8.31,Derecha,18.09,False
Punto Extra,8.10,Izquierda,20.10,False
Pelota,7.71,Derecha,22.10,False
Pelota,7.91,Derecha,24.11,False
Pelota,7.24,Derecha,26.11,False
Pelota,8.75,Izquierda,28.12,False
Pelota,9.45,Izquierda,30.12,False
Punto Extra,10.90,Derecha,31.63,False
Punto Extra,10.60,Izquierda,33.13,False
Pelota,8.79,Derecha,34.64,False
Pelota,10.55,Izquierda,36.14,False
Punto Extra,10.58,Derecha,37.65,False
Punto Extra,10.93,Izquierda,39.16,False
Punto Extra,8.68,Derecha,40.66,False
Pelota,10.77,Derecha,42.17,False
Pelota,9.38,Derecha,43.67,False
Punto Extra,10.88,Derecha,45.17,False
Pelota,10.21,Derecha,46.68,False
Punto Extra,9.43,Derecha,48.18,False
Pelota,10.80,Derecha,49.69,False
Pelota,9.12,Derecha,51.20,False
Pelota,9.37,Izquierda,52.70,False
Pelota,8.95,Izquierda,54.21,False
Punto Extra,9.07,Izquierda,55.71,False
Punto Extra,10.50,Izquierda,57.22,False
Pelota,10.80,Derecha,58.72,False
 
PELOTAS RECIBIDAS: , 22,66.67%
, Aciertos: , 21, Derecha: , 14, Izquierda: ,7
, , 95.45% , , 66.67%, ,33.33%
, Errores: , 1, Derecha: , 1, Izquierda: ,0
, , 4.55% , , 100.00%, ,0.00%
 
PUNTOS EXTRAS RECIBIDOS: , 11,33.33%
, Obtenidos: , 0, Derecha: , 0
, Esquivados: , 11, Derecha: , 6, Izquierda: ,5
, , 100.00% , , 54.55%, ,45.45%
 
PUNTOS FINALES:, 2
 
OWO: ,True
