Tipo, Velocidad, Posición, Tiempo, Colisión
Pelota,7.75,Derecha,4.21,False
Pelota,7.95,Derecha,6.22,False
Pelota,8.09,Derecha,8.22,False
Pelota,8.03,Derecha,10.27,False
Pelota,8.24,Izquierda,12.29,False
Pelota,7.90,Derecha,14.32,False
Pelota,8.79,Derecha,16.34,False
Pelota,7.68,Derecha,18.34,True
Pelota,7.13,Izquierda,20.36,False
Punto Extra,8.93,Izquierda,22.37,True
Pelota,7.92,Derecha,24.43,True
Pelota,7.15,Derecha,26.44,True
Punto Extra,8.88,Izquierda,28.44,False
Punto Extra,10.65,Derecha,30.44,True
Pelota,10.99,Izquierda,31.97,False
Punto Extra,8.67,Izquierda,33.49,False
Pelota,8.57,Derecha,35.00,False
Pelota,10.52,Derecha,36.52,False
Pelota,10.64,Izquierda,38.04,False
Pelota,10.96,Izquierda,39.57,False
Punto Extra,9.70,Derecha,41.11,False
Punto Extra,9.71,Izquierda,42.63,False
Pelota,10.14,Izquierda,44.13,False
Pelota,9.86,Izquierda,45.70,False
Pelota,10.32,Izquierda,47.21,False
Punto Extra,10.90,Derecha,48.74,True
Pelota,10.52,Derecha,50.26,False
Pelota,9.37,Izquierda,51.81,False
Pelota,10.40,Derecha,53.32,False
Punto Extra,9.06,Derecha,54.84,False
Pelota,10.83,Derecha,56.34,False
Pelota,10.76,Derecha,57.84,False
Pelota,8.83,Derecha,59.36,False
 
PELOTAS RECIBIDAS: , 25,75.76%
, Aciertos: , 22, Derecha: , 13, Izquierda: ,9
, , 88.00% , , 59.09%, ,40.91%
, Errores: , 3, Derecha: , 3, Izquierda: ,0
, , 12.00% , , 100.00%, ,0.00%
 
PUNTOS EXTRAS RECIBIDOS: , 8,24.24%
, Obtenidos: , 3, Derecha: , 2
, , 37.50% , , 66.67%, ,33.33%
, Esquivados: , 5, Derecha: , 2, Izquierda: ,3
, , 62.50% , , 40.00%, ,60.00%
 
PUNTOS FINALES:, 3
 
OWO: ,True
