Tipo, Velocidad, Posición, Tiempo, Colisión
Pelota,8.33,Izquierda,4.06,False
Pelota,8.06,Derecha,6.06,False
Pelota,7.27,Izquierda,8.07,False
Pelota,8.03,Derecha,10.07,False
Pelota,7.15,Izquierda,12.08,False
Pelota,7.59,Izquierda,14.08,False
Pelota,7.28,Derecha,16.09,True
Pelota,7.57,Derecha,18.09,False
Pelota,8.01,Izquierda,20.10,False
Pelota,7.15,Derecha,22.11,False
Pelota,7.47,Izquierda,24.11,False
Pelota,8.83,Derecha,26.12,False
Punto Extra,7.50,Derecha,28.12,False
Pelota,9.77,Derecha,30.12,False
Punto Extra,9.16,Izquierda,31.63,False
Punto Extra,10.67,Izquierda,33.13,False
Pelota,9.10,Izquierda,34.64,True
Punto Extra,10.25,Derecha,36.14,True
Pelota,10.98,Derecha,37.64,False
Pelota,8.89,Derecha,39.14,False
Punto Extra,8.76,Derecha,40.65,False
Pelota,10.90,Derecha,42.15,False
Pelota,9.65,Derecha,43.66,False
Punto Extra,9.70,Derecha,45.16,True
Pelota,10.55,Derecha,46.66,False
Pelota,9.85,Derecha,48.17,False
Pelota,10.40,Derecha,49.67,False
Pelota,9.69,Izquierda,51.17,False
Punto Extra,9.61,Derecha,52.68,True
Pelota,9.12,Izquierda,54.18,False
Pelota,10.25,Izquierda,55.69,False
Punto Extra,9.78,Izquierda,57.19,False
Pelota,8.99,Izquierda,58.69,False
 
PELOTAS RECIBIDAS: , 25,75.76%
, Aciertos: , 23, Derecha: , 13, Izquierda: ,10
, , 92.00% , , 56.52%, ,43.48%
, Errores: , 2, Derecha: , 1, Izquierda: ,1
, , 8.00% , , 50.00%, ,50.00%
 
PUNTOS EXTRAS RECIBIDOS: , 8,24.24%
, Obtenidos: , 3, Derecha: , 3
, , 37.50% , , 100.00%, ,0.00%
, Esquivados: , 5, Derecha: , 2, Izquierda: ,3
, , 62.50% , , 40.00%, ,60.00%
 
PUNTOS FINALES:, 4
 
OWO: ,True
