Tipo, Velocidad, Posición, Tiempo, Colisión
Pelota,7.84,Derecha,4.06,False
Pelota,7.61,Derecha,6.07,False
Pelota,8.62,Derecha,8.07,False
Pelota,8.62,Izquierda,10.07,False
Pelota,7.95,Izquierda,12.08,False
Pelota,8.91,Derecha,14.08,False
Pelota,7.16,Derecha,16.09,False
Pelota,8.19,Derecha,18.09,True
Pelota,7.93,Derecha,20.10,True
Punto Extra,8.71,Derecha,22.10,True
Pelota,7.89,Derecha,24.11,False
Punto Extra,8.10,Derecha,26.11,True
Pelota,7.47,Derecha,28.12,True
Punto Extra,9.15,Derecha,30.12,False
Punto Extra,10.73,Derecha,31.63,True
Pelota,10.86,Derecha,33.13,True
Pelota,9.23,Derecha,34.63,False
Pelota,9.91,Izquierda,36.14,False
Pelota,9.50,Derecha,37.64,False
Pelota,10.50,Izquierda,39.14,False
Pelota,9.77,Izquierda,40.65,False
Pelota,10.75,Derecha,42.15,False
Pelota,9.38,Derecha,43.66,False
Pelota,9.22,Derecha,45.16,False
Pelota,9.44,Izquierda,46.66,False
Pelota,10.79,Derecha,48.17,True
Punto Extra,9.25,Izquierda,49.67,False
Punto Extra,8.53,Izquierda,51.18,False
Pelota,8.50,Derecha,52.68,True
Punto Extra,10.59,Izquierda,54.18,False
Punto Extra,8.96,Derecha,55.69,True
Punto Extra,8.93,Izquierda,57.19,False
Punto Extra,9.07,Derecha,58.69,True
 
PELOTAS RECIBIDAS: , 23,69.70%
, Aciertos: , 17, Derecha: , 11, Izquierda: ,6
, , 73.91% , , 64.71%, ,35.29%
, Errores: , 6, Derecha: , 6, Izquierda: ,0
, , 26.09% , , 100.00%, ,0.00%
 
PUNTOS EXTRAS RECIBIDOS: , 10,30.30%
, Obtenidos: , 5, Derecha: , 5
, , 50.00% , , 100.00%, ,0.00%
, Esquivados: , 5, Derecha: , 1, Izquierda: ,4
, , 50.00% , , 20.00%, ,80.00%
 
PUNTOS FINALES:, 2
 
OWO: ,True
