Tipo, Velocidad, Posición, Tiempo, Colisión
Pelota,8.83,Izquierda,4.07,False
Pelota,7.98,Izquierda,6.07,False
Pelota,8.33,Izquierda,8.08,False
Pelota,7.77,Derecha,10.08,False
Punto Extra,7.47,Izquierda,12.09,False
Pelota,7.41,Derecha,14.09,False
Pelota,8.14,Derecha,16.10,True
Pelota,8.79,Derecha,18.10,True
Pelota,8.51,Derecha,20.11,False
Punto Extra,8.33,Derecha,22.12,True
Punto Extra,8.34,Derecha,24.12,True
Pelota,7.62,Derecha,26.13,True
Pelota,8.45,Derecha,28.13,True
Punto Extra,10.98,Izquierda,30.14,False
Punto Extra,9.72,Derecha,31.64,True
Punto Extra,8.83,Derecha,33.14,True
Pelota,8.91,Derecha,34.65,True
Pelota,8.55,Izquierda,36.15,False
Pelota,9.78,Izquierda,37.65,False
Pelota,9.02,Derecha,39.16,False
Punto Extra,9.87,Derecha,40.66,False
Pelota,9.97,Izquierda,42.17,False
Punto Extra,8.64,Izquierda,43.67,False
Pelota,10.88,Derecha,45.17,True
Pelota,10.71,Izquierda,46.68,False
Pelota,9.15,Derecha,48.18,False
Pelota,9.13,Derecha,49.68,False
Punto Extra,9.42,Izquierda,51.19,False
Punto Extra,10.02,Izquierda,52.69,True
Punto Extra,10.11,Derecha,54.19,True
Pelota,9.45,Izquierda,55.70,False
Pelota,8.66,Derecha,57.20,False
Pelota,10.38,Derecha,58.71,False
 
PELOTAS RECIBIDAS: , 22,66.67%
, Aciertos: , 16, Derecha: , 8, Izquierda: ,8
, , 72.73% , , 50.00%, ,50.00%
, Errores: , 6, Derecha: , 6, Izquierda: ,0
, , 27.27% , , 100.00%, ,0.00%
 
PUNTOS EXTRAS RECIBIDOS: , 11,33.33%
, Obtenidos: , 6, Derecha: , 5
, , 54.55% , , 83.33%, ,16.67%
, Esquivados: , 5, Derecha: , 1, Izquierda: ,4
, , 45.45% , , 20.00%, ,80.00%
 
PUNTOS FINALES:, 3
 
OWO: ,True
