Tipo, Velocidad, Posición, Tiempo, Colisión
Pelota,7.55,Derecha,1.99,False
Pelota,7.17,Derecha,3.99,True
Pelota,8.88,Izquierda,6.04,False
Pelota,7.70,Derecha,8.11,False
Pelota,8.36,Izquierda,10.15,False
Pelota,8.72,Derecha,12.21,False
Pelota,8.04,Izquierda,14.22,True
Pelota,8.53,Izquierda,16.25,False
Pelota,7.16,Izquierda,18.38,False
Pelota,8.49,Derecha,20.38,True
Pelota,8.59,Derecha,22.39,True
Pelota,8.28,Derecha,24.41,False
Pelota,8.04,Derecha,26.42,False
Pelota,7.84,Izquierda,28.44,False
Pelota,9.14,Derecha,30.47,False
Pelota,10.81,Derecha,31.99,False
Pelota,8.67,Derecha,33.53,False
Pelota,9.83,Izquierda,35.04,False
Pelota,10.92,Izquierda,36.61,False
Pelota,10.12,Izquierda,38.16,False
Pelota,9.81,Izquierda,39.69,False
Pelota,9.80,Izquierda,41.19,False
Pelota,9.19,Izquierda,42.70,False
Pelota,9.61,Izquierda,44.23,False
Pelota,10.12,Izquierda,45.74,False
Pelota,10.69,Derecha,47.27,False
Pelota,8.56,Derecha,48.82,True
Pelota,9.49,Derecha,50.33,False
Pelota,8.88,Izquierda,51.88,False
Pelota,9.74,Derecha,53.41,False
Pelota,8.96,Izquierda,54.97,False
Pelota,10.30,Izquierda,56.49,False
Pelota,9.69,Izquierda,57.99,False
Pelota,10.39,Derecha,59.52,False
 
PELOTAS RECIBIDAS: , 34,100.00%
, Aciertos: , 29, Derecha: , 12, Izquierda: ,17
, , 85.29% , , 41.38%, ,58.62%
, Errores: , 5, Derecha: , 4, Izquierda: ,1
, , 14.71% , , 80.00%, ,20.00%
 
PUNTOS FINALES:, 0
 
OWO: ,True
